plot,treeno,species,logged,h2015,D,H,HCB,CL,grade,deadr,d/D,D2,BA individ,BA,QMD,MD,DH,S,CWE,CWW,CWS,CWN,quality,hurttyp,tree_type,coordinate_x,coordinate_y,subplotno,absx,absy,MT,cw
ZH-01,2,×õÊ÷,1,,12,8.6,3.7,4.9,,,0.730423731,144,0.011304,4.555339,16.42882,14.41535,24.4,501,0.93,0.46,1.28,1.29,2,,,7.5,1.3,200,27.5,1.3,T,1.98
ZH-01,6,×õÊ÷,1,,28.1,19.6,4.1,15.5,,,1.710408903,789.61,0.061984385,4.555339,16.42882,14.41535,24.4,501,3.45,2.57,1.53,2,2,,,5.8,6.6,200,25.8,6.6,T,4.775
ZH-01,9,°×èë,1,,8.6,10.7,8.3,2.4,,,0.523470341,73.96,0.00580586,4.555339,16.42882,14.41535,24.4,501,0.63,0.66,1.42,0.81,2,,,3.9,2.1,300,33.9,2.1,T,1.76
ZH-01,10,ÑîÊ÷,1,,10.1,16.2,12.7,3.5,,,0.614773307,102.01,0.008007785,4.555339,16.42882,14.41535,24.4,501,0.73,0.51,0.52,1.32,1,,,3.6,5.1,300,33.6,5.1,T,1.54
ZH-01,14,ÑîÊ÷,1,,12.6,18.2,11.7,6.5,,,0.766944918,158.76,0.01246266,4.555339,16.42882,14.41535,24.4,501,0.87,0.68,1.2,1.08,1,,,7.9,6.3,300,37.9,6.3,T,1.915
ZH-01,15,É«Ä¾,1,,8.5,11.7,6.7,5,,,0.517383476,72.25,0.005671625,4.555339,16.42882,14.41535,24.4,501,0.38,1.07,0.98,1.87,1,,,7.8,6,300,37.8,6,T,2.15
ZH-01,17,ÑîÊ÷,1,,13.1,21.7,15.5,6.2,,,0.79737924,171.61,0.013471385,4.555339,16.42882,14.41535,24.4,501,0.92,1.03,1.08,1.1,1,,,7.3,3.6,300,37.3,3.6,T,2.065
ZH-01,20,ºìËÉ,1,,15.9,12.7,2.2,10.5,,,0.967811444,252.81,0.019845585,4.555339,16.42882,14.41535,24.4,501,1.53,1.05,1.32,1.27,1,,,6.4,2.6,300,36.4,2.6,T,2.585
ZH-01,27,ÑîÊ÷,1,,13,14.3,10.1,4.2,,,0.791292375,169,0.0132665,4.555339,16.42882,14.41535,24.4,501,1.19,0.4,0.25,2.63,1,,,0.6,9.8,400,40.6,9.8,T,2.235
ZH-01,29,ÑîÊ÷,1,,12.1,20,14.9,5.1,,,0.736510595,146.41,0.011493185,4.555339,16.42882,14.41535,24.4,501,1.02,0.88,1.98,0.37,1,,,2.7,10,400,42.7,10,T,2.125
ZH-01,31,ÑîÊ÷,1,,9.9,16.5,14.4,2.1,,,0.602599578,98.01,0.007693785,4.555339,16.42882,14.41535,24.4,501,1.21,0.59,0.87,0.72,2,,,3.6,6.6,400,43.6,6.6,T,1.695
