"CW","CLR","SD","D","PLOT","BLOCK"
5.566,0.315018315,350,26.5,1,1
5.374,0.540856031,350,36.2,1,1
5.091,0.624,350,26.5,1,1
4.902,0.654320988,350,33.5,1,1
4.74,0.580952381,350,30.8,1,1
4.401,0.58436214,350,31,1,1
4.076,0.578475336,350,27.5,1,1
3.994,0.473170732,350,29.6,1,1
3.807,0.790123457,350,27.5,1,1
3.773,0.603305785,350,32.2,1,1
3.753,0.415019763,350,26,1,1
3.088,0.45112782,350,25.5,1,1
2.359,0.669565217,350,9.6,1,1
1.762,0.290178571,350,26.4,1,1
5.911,0.396825397,750,5.9,3,1
5.787,0.665467626,750,38.5,3,1
5.344,0.821086262,750,43,3,1
4.964,0.55862069,750,38.1,3,1
4.933,0.796551724,750,35.3,3,1
4.314,0.644067797,750,5.3,3,1
4.259,0.698360656,750,30.8,3,1
4.186,0.503355705,750,35,3,1
4.017,0.371428571,750,28,3,1
3.881,0.512727273,750,32,3,1
3.774,0.664206642,750,35.4,3,1
3.768,0.358885017,750,28.8,3,1
3.661,0.724137931,750,32,3,1
3.636,0.371237458,750,33.8,3,1
3.625,0.594501718,750,35.3,3,1
3.505,0.560283688,750,26.7,3,1
3.323,0.552901024,750,32.3,3,1
3.119,0.514388489,750,26.5,3,1
3.024,0.578231293,750,31.4,3,1
3.017,0.676923077,750,5.2,3,1
2.885,0.496376812,750,30.5,3,1
2.877,0.4375,750,5.8,3,1
2.821,0.324723247,750,30.6,3,1
2.753,0.328025478,750,35.4,3,1
2.657,0.594982079,750,25.4,3,1
2.608,0.832167832,750,25.4,3,1
2.465,0.513986014,750,30.2,3,1
2.451,0.455172414,750,26.5,3,1
2.309,0.446601942,750,29.1,3,1
1.41,0.411764706,750,6.7,3,1
7.366,0.690763052,325,38.1,17,1
6.959,0.574468085,325,38.5,17,1
6.902,0.721115538,325,38.3,17,1
6.524,0.652,325,38.7,17,1
6.203,0.600694444,325,41.3,17,1
6.18,0.708333333,325,44,17,1
5.913,0.573221757,325,43,17,1
5.76,0.555970149,325,39.1,17,1
5.625,0.607003891,325,35.5,17,1
5.1,0.696774194,325,20.8,17,1
4.98,0.614864865,325,44.1,17,1
3.981,0.706319703,325,30,17,1
1.98,0.486486486,325,8.4,17,1
4.928,0.736040609,1200,22.3,5,2
3.718,0.816849817,1200,38.3,5,2
3.354,0.442477876,1200,40.8,5,2
3.3,0.709433962,1200,28,5,2
3.179,0.221311475,1200,32.5,5,2
3.064,0.654676259,1200,27.1,5,2
3.037,0.283276451,1200,34.7,5,2
2.932,0.73015873,1200,39.3,5,2
2.916,0.722846442,1200,38.8,5,2
2.879,0.345394737,1200,36.7,5,2
2.814,0.402877698,1200,28.5,5,2
2.689,0.325581395,1200,41.5,5,2
2.629,0.590405904,1200,31.5,5,2
2.605,0.379182156,1200,28.8,5,2
2.392,0.603571429,1200,25.6,5,2
2.304,0.6,1200,25.6,5,2
2.268,0.48943662,1200,32.6,5,2
2.169,0.645390071,1200,32.2,5,2
2.115,0.227424749,1200,30.5,5,2
2.098,0.527272727,1200,28.5,5,2
2.067,0.627240143,1200,37.7,5,2
1.995,0.688172043,1200,27,5,2
1.97,0.557971014,1200,25,5,2
1.903,0.75177305,1200,26.5,5,2
1.882,0.216981132,1200,22.6,5,2
1.835,0.6367713,1200,18.6,5,2
1.805,0.356617647,1200,20.7,5,2
1.74,0.668202765,1200,16.8,5,2
1.733,0.51119403,1200,24,5,2
1.715,0.598455598,1200,23.5,5,2
1.665,0.685344828,1200,21.4,5,2
1.663,0.548951049,1200,30.9,5,2
1.649,0.755102041,1200,19.8,5,2
1.622,0.580310881,1200,18.5,5,2
1.606,0.573913043,1200,19.1,5,2
1.599,0.720930233,1200,24.8,5,2
1.584,0.665441176,1200,21.5,5,2
1.581,0.616858238,1200,22.4,5,2
1.566,0.618677043,1200,20,5,2
1.56,0.641732283,1200,32.4,5,2
1.554,0.661202186,1200,18.8,5,2
1.468,0.395480226,1200,13.1,5,2
1.448,0.415929204,1200,10.1,5,2
1.425,0.281045752,1200,13.9,5,2
1.339,0.537190083,1200,32.4,5,2
1.307,0.61682243,1200,15.4,5,2
1.297,0.477011494,1200,15,5,2
1.216,0.527027027,1200,17.7,5,2
5.353,0.585034014,950,51.1,7,2
4.856,0.79787234,950,30.1,7,2
3.805,0.566037736,950,29.2,7,2
3.227,0.759036145,950,29,7,2
3.215,0.587030717,950,33.5,7,2
3.175,0.325732899,950,39.6,7,2
3.17,0.598639456,950,37.5,7,2
3.148,0.436567164,950,29.4,7,2
3.131,0.332179931,950,43.3,7,2
3.108,0.231660232,950,36.1,7,2
2.806,0.6900369,950,29.3,7,2
2.744,0.665441176,950,31.6,7,2
2.692,0.1875,950,36,7,2
2.685,0.557142857,950,34.5,7,2
2.621,0.173431734,950,31.2,7,2
2.548,0.419811321,950,21.6,7,2
2.496,0.272058824,950,34.5,7,2
2.426,0.244604317,950,35.1,7,2
2.422,0.284210526,950,37.2,7,2
2.32,0.210332103,950,23.4,7,2
2.236,0.167315175,950,35.9,7,2
2.162,0.614814815,950,26.5,7,2
2.156,0.565836299,950,32.6,7,2
2.147,0.160958904,950,31.3,7,2
1.966,-0.202970297,950,25.9,7,2
