"CW","CLR","SD","D","PLOT"
2.65,0.8,2344.444444,8.6,1
1.55,0.68,2344.444444,3.1,1
0.64,0.38,1600,6.6,2
2.634,0.25,1600,9.6,2
2.562,0.31,1600,7,2
3.095,0.45,1600,14.4,2
4.5985,0.56,1600,22.5,2
3.18,0.45,1600,17.6,2
3.215,0.34,1600,8.7,2
4.456,0.53,1600,13.6,2
3.8145,0.44,1600,14.4,2
2.1485,0.34,1600,11.3,2
1.4235,0.48,1600,7.5,2
2.999,0.43,1600,10.4,2
2.4795,0.38,1600,11.4,2
4.009,0.29,1600,5.3,2
2.4365,0.36,1600,11.2,2
1.342,0.22,1600,6.4,2
1.1525,0.07,1600,6.8,2
3.935,0.63,1600,14.5,2
3.5,0.42,1600,6.3,2
1.895,0.34,1600,9.2,2
3.065,0.6,1600,8.3,2
2.23,0.72,1600,15.7,2
3.065,0.56,1600,15.5,2
2.025,0.6,1600,9.2,2
3.56,0.5,1600,17,2
3.5045,0.23,1600,13.1,2
2.084,0.43,1600,10.5,2
3.3475,0.51,1600,17.3,2
1.805,0.35,1600,8.1,2
2.5125,0.49,1600,10.8,2
2.8585,0.36,1600,15.7,2
1.8615,0.29,1600,10.4,2
2.8735,0.25,1600,16.2,2
2.8865,0.43,1600,10.5,2
2.422,0.45,1600,10.4,2
2.248,0.37,1600,12.5,2
2.2145,0.48,1600,9.5,2
2.7015,0.37,1600,9.6,2
2.605,0.19,1600,14.1,2
1.677,0.2,1600,10.8,2
4.701,0.42,1600,18.5,2
3.4735,0.31,1600,15.1,2
3.4715,0.22,1600,15.4,2
3.666,0.41,1600,18.6,2
3.662,0.44,1600,15.5,2
3.722,0.45,1600,13.6,2
3.316,0.23,1600,9.5,2
4.1075,0.44,1600,18.1,2
4.3055,0.38,1600,14.1,2
3.291,0.27,1600,10.5,2
4.763,0.52,1600,22.1,2
3.16,0.2,1600,13.9,2
2.884,0.24,1600,10.1,2
4.4195,0.38,1600,15.7,2
2.392,0.34,1600,10.8,2
3.2575,0.49,1600,12.4,2
2.834,0.24,1600,9.3,2
2.7225,0.18,1600,9.3,2
1.795,0.43,1600,10.7,2
4.308,0.55,1600,20,2
2.928,0.16,1600,11.8,2
3.8205,0.47,1600,18,2
4.777,0.53,1600,11.4,2
4.5335,0.66,1600,16.7,2
1.8165,0.32,1600,9.7,2
2.191,0.35,1600,12.4,2
3.005,0.31,1600,14.2,2
3.67,0.8,1600,8.2,2
4.855,0.59,1600,19,2
3.2925,0.59,1600,18.5,2
2.396,0.2,1600,13.6,2
3.659,0.51,1600,20.4,2
3.336,0.33,1600,12.5,2
5.41,0.4,1600,21.1,2
3.464,0.41,1600,14.6,2
4.8075,0.66,1600,20.9,2
4.4455,0.47,1600,16.6,2
4.708,0.5,1600,19.1,2
2.7095,0.59,1600,12.5,2
3.40075,0.44,1600,12.7,2
1.953,0.55,1600,9.8,2
3.128,0.33,1600,15.6,2
4.164,0.47,1600,12.7,2
2.258,0.31,1600,7.3,2
2.764,0.29,1600,7.1,2
4.818,0.49,1600,12.8,2
3.22,0.39,1600,13.7,2
3.7385,0.44,1600,15.9,2
2.945,0.44,1600,14.1,2
3.035,0.33,1600,11.4,2
2.285,0.27,1600,8.1,2
3.653,0.52,1600,13,2
4.085,0.52,1600,11.9,2
2.8585,0.27,1600,9.7,2
5.198,0.65,1600,18.7,2
4.2925,0.45,1600,17.5,2
1.2315,0.07,1600,4.8,2
2.32,0.38,1600,8.1,2
1.832,0.52,1600,5.1,2
3.2445,0.47,1600,11.6,2
2.4305,0.69,1600,9.2,2
2.5965,0.49,1600,9.8,2
2.3455,0.46,1600,6.7,2
2.295,0.1,1600,8.3,2
2.461,0.4,1600,16.4,2
5.166,0.33,1600,16.2,2
4.0845,0.35,1600,14.2,2
3.433,0.45,1600,11.5,2
3.533,0.32,1600,11,2
2.49,0.57,1600,8.3,2
0.71,0.43,1600,9.1,2
1.585,0.28,1600,6.9,2
