BLOCK,PLOT,SD,D,H,CW,CLR,TYPE
1,1,350 ,26.5 ,27.3 ,5.566 ,0.315018315,1.000 
1,1,350 ,36.2 ,25.7 ,5.374 ,0.540856031,1.000 
1,1,350 ,26.5 ,25.0 ,5.091 ,0.624,1.000 
1,1,350 ,33.5 ,24.3 ,4.902 ,0.654320988,1.000 
1,1,350 ,30.8 ,21.0 ,4.740 ,0.580952381,1.000 
1,1,350 ,31.0 ,24.3 ,4.401 ,0.58436214,1.000 
1,1,350 ,27.5 ,22.3 ,4.076 ,0.578475336,1.000 
1,1,350 ,29.6 ,20.5 ,3.994 ,0.473170732,1.000 
1,1,350 ,27.5 ,24.3 ,3.807 ,0.790123457,1.000 
1,1,350 ,32.2 ,24.2 ,3.773 ,0.603305785,1.000 
1,1,350 ,26.0 ,25.3 ,3.753 ,0.415019763,1.000 
1,1,350 ,25.5 ,26.6 ,3.088 ,0.45112782,1.000 
1,1,350 ,9.6 ,11.5 ,2.359 ,0.669565217,1.000 
1,1,350 ,26.4 ,22.4 ,1.762 ,0.290178571,1.000 
1,3,750 ,5.9 ,6.3 ,5.911 ,0.396825397,1.000 
1,3,750 ,38.5 ,27.8 ,5.787 ,0.665467626,1.000 
1,3,750 ,43.0 ,31.3 ,5.344 ,0.821086262,1.000 
1,3,750 ,38.1 ,29.0 ,4.964 ,0.55862069,1.000 
1,3,750 ,35.3 ,29.0 ,4.933 ,0.796551724,1.000 
1,3,750 ,5.3 ,5.9 ,4.314 ,0.644067797,1.000 
1,3,750 ,30.8 ,30.5 ,4.259 ,0.698360656,1.000 
1,3,750 ,35.0 ,29.8 ,4.186 ,0.503355705,1.000 
1,3,750 ,28.0 ,28.0 ,4.017 ,0.371428571,1.000 
1,3,750 ,32.0 ,27.5 ,3.881 ,0.512727273,1.000 
1,3,750 ,35.4 ,27.1 ,3.774 ,0.664206642,1.000 
1,3,750 ,28.8 ,28.7 ,3.768 ,0.358885017,1.000 
1,3,750 ,32.0 ,29.0 ,3.661 ,0.724137931,1.000 
1,3,750 ,33.8 ,29.9 ,3.636 ,0.371237458,1.000 
1,3,750 ,35.3 ,29.1 ,3.625 ,0.594501718,1.000 
1,3,750 ,26.7 ,28.2 ,3.505 ,0.560283688,1.000 
1,3,750 ,32.3 ,29.3 ,3.323 ,0.552901024,1.000 
1,3,750 ,26.5 ,27.8 ,3.119 ,0.514388489,1.000 
1,3,750 ,31.4 ,29.4 ,3.024 ,0.578231293,1.000 
1,3,750 ,5.2 ,6.5 ,3.017 ,0.676923077,1.000 
1,3,750 ,30.5 ,27.6 ,2.885 ,0.496376812,1.000 
1,3,750 ,5.8 ,3.2 ,2.877 ,0.4375,1.000 
1,3,750 ,30.6 ,27.1 ,2.821 ,0.324723247,1.000 
1,3,750 ,35.4 ,31.4 ,2.753 ,0.328025478,1.000 
1,3,750 ,25.4 ,27.9 ,2.657 ,0.594982079,1.000 
1,3,750 ,25.4 ,28.6 ,2.608 ,0.832167832,1.000 
1,3,750 ,30.2 ,28.6 ,2.465 ,0.513986014,1.000 
1,3,750 ,26.5 ,29.0 ,2.451 ,0.455172414,1.000 
1,3,750 ,29.1 ,30.9 ,2.309 ,0.446601942,1.000 
1,3,750 ,6.7 ,8.5 ,1.410 ,0.411764706,1.000 
1,17,325 ,38.1 ,24.9 ,7.366 ,0.690763052,1.000 
1,17,325 ,38.5 ,28.2 ,6.959 ,0.574468085,1.000 
1,17,325 ,38.3 ,25.1 ,6.902 ,0.721115538,1.000 
1,17,325 ,38.7 ,25.0 ,6.524 ,0.652,1.000 
1,17,325 ,41.3 ,28.8 ,6.203 ,0.600694444,1.000 
1,17,325 ,44.0 ,26.4 ,6.180 ,0.708333333,1.000 
1,17,325 ,43.0 ,23.9 ,5.913 ,0.573221757,1.000 
1,17,325 ,39.1 ,26.8 ,5.760 ,0.555970149,1.000 
1,17,325 ,35.5 ,25.7 ,5.625 ,0.607003891,1.000 
1,17,325 ,20.8 ,15.5 ,5.100 ,0.696774194,1.000 
1,17,325 ,44.1 ,29.6 ,4.980 ,0.614864865,1.000 
1,17,325 ,30.0 ,26.9 ,3.981 ,0.706319703,1.000 
1,17,325 ,8.4 ,7.4 ,1.980 ,0.486486486,1.000 
2,5,1200 ,22.3 ,19.7 ,4.928 ,0.736040609,1.000 
2,5,1200 ,38.3 ,27.3 ,3.718 ,0.816849817,1.000 
2,5,1200 ,40.8 ,22.6 ,3.354 ,0.442477876,1.000 
2,5,1200 ,28.0 ,26.5 ,3.300 ,0.709433962,1.000 
2,5,1200 ,32.5 ,24.4 ,3.179 ,0.221311475,1.000 
2,5,1200 ,27.1 ,27.8 ,3.064 ,0.654676259,1.000 
2,5,1200 ,34.7 ,29.3 ,3.037 ,0.283276451,1.000 
2,5,1200 ,39.3 ,37.8 ,2.932 ,0.73015873,1.000 
2,5,1200 ,38.8 ,26.7 ,2.916 ,0.722846442,1.000 
2,5,1200 ,36.7 ,30.4 ,2.879 ,0.345394737,1.000 
2,5,1200 ,28.5 ,27.8 ,2.814 ,0.402877698,1.000 
2,5,1200 ,41.5 ,30.1 ,2.689 ,0.325581395,1.000 
2,5,1200 ,31.5 ,27.1 ,2.629 ,0.590405904,1.000 
2,5,1200 ,28.8 ,26.9 ,2.605 ,0.379182156,1.000 
2,5,1200 ,25.6 ,28.0 ,2.392 ,0.603571429,1.000 
2,5,1200 ,25.6 ,27.5 ,2.304 ,0.6,1.000 
2,5,1200 ,32.6 ,28.4 ,2.268 ,0.48943662,1.000 
2,5,1200 ,32.2 ,28.2 ,2.169 ,0.645390071,1.000 
2,5,1200 ,30.5 ,29.9 ,2.115 ,0.227424749,1.000 
2,5,1200 ,28.5 ,27.5 ,2.098 ,0.527272727,1.000 
2,5,1200 ,37.7 ,27.9 ,2.067 ,0.627240143,1.000 
2,5,1200 ,27.0 ,27.9 ,1.995 ,0.688172043,1.000 
2,5,1200 ,25.0 ,27.6 ,1.970 ,0.557971014,1.000 
2,5,1200 ,26.5 ,28.2 ,1.903 ,0.75177305,1.000 
2,5,1200 ,22.6 ,21.2 ,1.882 ,0.216981132,1.000 
2,5,1200 ,18.6 ,22.3 ,1.835 ,0.6367713,1.000 
2,5,1200 ,20.7 ,27.2 ,1.805 ,0.356617647,1.000 
2,5,1200 ,16.8 ,21.7 ,1.740 ,0.668202765,1.000 
2,5,1200 ,24.0 ,26.8 ,1.733 ,0.51119403,1.000 
2,5,1200 ,23.5 ,25.9 ,1.715 ,0.598455598,1.000 
2,5,1200 ,21.4 ,23.2 ,1.665 ,0.685344828,1.000 
2,5,1200 ,30.9 ,28.6 ,1.663 ,0.548951049,1.000 
2,5,1200 ,19.8 ,24.5 ,1.649 ,0.755102041,1.000 
2,5,1200 ,18.5 ,19.3 ,1.622 ,0.580310881,1.000 
2,5,1200 ,19.1 ,23.0 ,1.606 ,0.573913043,1.000 
2,5,1200 ,24.8 ,25.8 ,1.599 ,0.720930233,1.000 
2,5,1200 ,21.5 ,27.2 ,1.584 ,0.665441176,1.000 
2,5,1200 ,22.4 ,26.1 ,1.581 ,0.616858238,1.000 
2,5,1200 ,20.0 ,25.7 ,1.566 ,0.618677043,1.000 
2,5,1200 ,32.4 ,25.4 ,1.560 ,0.641732283,1.000 
2,5,1200 ,18.8 ,18.3 ,1.554 ,0.661202186,1.000 
2,5,1200 ,13.1 ,17.7 ,1.468 ,0.395480226,1.000 
2,5,1200 ,10.1 ,11.3 ,1.448 ,0.415929204,1.000 
2,5,1200 ,13.9 ,15.3 ,1.425 ,0.281045752,1.000 
2,5,1200 ,32.4 ,24.2 ,1.339 ,0.537190083,1.000 
2,5,1200 ,15.4 ,21.4 ,1.307 ,0.61682243,1.000 
2,5,1200 ,15.0 ,17.4 ,1.297 ,0.477011494,1.000 
2,5,1200 ,17.7 ,22.2 ,1.216 ,0.527027027,1.000 
2,7,950 ,51.1 ,29.4 ,5.353 ,0.585034014,1.000 
2,7,950 ,30.1 ,28.2 ,4.856 ,0.79787234,1.000 
2,7,950 ,29.2 ,26.5 ,3.805 ,0.566037736,1.000 
2,7,950 ,29.0 ,24.9 ,3.227 ,0.759036145,1.000 
2,7,950 ,33.5 ,29.3 ,3.215 ,0.587030717,1.000 
2,7,950 ,39.6 ,30.7 ,3.175 ,0.325732899,1.000 
2,7,950 ,37.5,29.4,3.170 ,0.598639456,1.000 
2,7,950 ,29.4 ,26.8 ,3.148 ,0.436567164,1.000 
2,7,950 ,43.3 ,28.9 ,3.131 ,0.332179931,1.000 
2,7,950 ,36.1 ,25.9 ,3.108 ,0.231660232,1.000 
2,7,950 ,29.3 ,27.1 ,2.806 ,0.6900369,1.000 
2,7,950 ,31.6 ,27.2 ,2.744 ,0.665441176,1.000 
2,7,950 ,36.0 ,28.8 ,2.692 ,0.1875,1.000 
2,7,950 ,34.5 ,28.0 ,2.685 ,0.557142857,1.000 
2,7,950 ,31.2 ,27.1 ,2.621 ,0.173431734,1.000 
2,7,950 ,21.6 ,21.2 ,2.548 ,0.419811321,1.000 
2,7,950 ,34.5 ,27.2 ,2.496 ,0.272058824,1.000 
2,7,950 ,35.1 ,27.8 ,2.426 ,0.244604317,1.000 
