d,h,hdo,den,num,dhdo
20.1,12.7,15.7,422,0.2,315.57
17.4,12.6,16.5,1356,0.3,287.1
21.3,13.8,17.3,1122,0.1,368.49
17.4,12.3,16.1,1656,1,280.14
8.4,6.1,14,2333,0.1,117.6
19.6,12.1,16.6,1656,0.1,325.36
21.8,15.9,16.5,1356,0.9,359.7
13.9,13,15.1,1067,0.9,209.89
4.9,3.3,5.4,1133,0.6,26.46
8.7,5.9,6,600,0.4,52.2
6.1,4.2,6.9,1356,0.5,42.09
7.7,5.3,6.9,1356,0.6,53.13
14,10.8,16.2,1156,0.7,226.8
16.6,10.9,14.8,1967,0.7,245.68
20.5,16.5,17.7,889,0.6,362.85
17.9,13,14.8,1967,0.2,264.92
30.5,18.6,19.6,789,0.2,597.8
12.1,11.7,16.5,1356,1,199.65
17.1,14.4,16.5,1356,0.4,282.15
5.4,4,15.1,1411,0.8,81.54
6.4,11.7,14.1,2200,0.8,90.24
13.2,11.2,15.1,1411,0.4,199.32
18.8,9.6,16.3,1556,0.8,306.44
19.2,11.7,15.8,1522,0.4,303.36
22,13.2,20.5,722,0.4,451
21.2,14.2,15.7,1022,0.8,332.84
19.8,14.9,16.3,1556,0.3,322.74
8,4.9,6,600,1,48
19.1,11.5,14.4,1689,0.8,275.04
15.4,13.5,15.1,1411,0.6,232.54
16.4,16.5,21.5,1667,1,352.6
17.7,12.7,15.1,1656,0.1,267.27
14.5,14.7,16.3,1556,0.8,236.35
14.6,8.5,14.5,978,0.8,211.7
7.5,5.1,6.4,911,0.7,48
24.8,12.3,13.9,767,0.5,344.72
16,8.7,14.6,789,0.6,233.6
12,9.5,14,2333,0.1,168
20,13.9,16.1,1656,0.3,322
11.6,13.1,17.7,2278,0.1,205.32
14.7,11.9,14.8,1967,0.4,217.56
4,2.8,5.4,1133,0.2,21.6
8.2,5.2,18.8,1233,0.1,154.16
22,15.4,17.3,1122,0.2,380.6
12.2,12.2,14,2333,0.7,170.8
20.2,14.2,18.8,1233,0.1,379.76
9.2,9.3,13.2,2122,0.1,121.44
11.4,10.8,17.7,2278,0.9,201.78
10.3,11.8,13.2,2122,0.9,135.96
10.4,6.4,14,2333,0.1,145.6
2.2,3.2,6.8,767,0.3,14.96
5.4,3.2,13.9,767,0.9,75.06
5.7,6.2,13.1,811,0.6,74.67
12.2,6.7,14,2333,0.2,170.8
28.5,16.4,22.4,867,0.9,638.4
3.8,3.5,10.1,1522,0.3,38.38
4.8,4.2,10.1,1522,0.9,48.48
16,10.9,16.2,1156,0.6,259.2
7.2,5.4,10.4,500,0.6,74.88
4,4.2,9.7,1644,0.4,38.8
23.2,12,15.7,422,0.5,364.24
19,12.8,16.5,1356,0.1,313.5
15.4,15.7,16.2,1678,0.5,249.48
22.5,16.7,20.3,1011,0.1,456.75
18.7,12.1,14.8,1022,0.3,276.76
6,6.6,7.1,1044,0.2,42.6
6.7,5.1,6.1,722,0.5,40.87
16.2,13.1,16.1,689,0.8,260.82
15.9,13,14.8,1022,0.4,235.32
8,6,16.2,1678,0.4,129.6
16.2,12.6,14.8,1967,0.5,239.76
16.7,14.5,18.8,1233,0.6,313.96
7.1,5.3,6,1322,0.7,42.6
32.5,17.6,22.4,867,0.4,728
5.8,5.6,17.7,2278,0.1,102.66
14.7,11.7,17.3,1122,0.9,254.31
14,9.5,15.8,1522,0.6,221.2
