d,h,hdo,den,num,dhdo,loghdo
4.7,4.2,11.8,1600,0.457389811,55.46,
11.3,5.3,11.8,1600,0.912160201,133.34,
15.5,10.5,20.3,800,0.948957152,314.65,
13.6,9.4,14.9,1222,0.989581982,202.64,
19.1,16.7,20.3,800,0.50996648,387.73,
4,3.7,18.7,844,0.01311794,74.8,
25.8,11.4,16.5,589,0.225496329,425.7,
10.7,11.7,20.1,733,0.845279509,215.07,
8.9,8.9,20.5,722,0.662703439,182.45,
8.9,5.2,13,1511,0.159867813,115.7,
19.7,10.7,14.9,1222,0.247886701,293.53,
8.7,3.9,14.9,1222,0.173399064,129.63,
17.6,11.9,16.5,589,0.803581559,290.4,
4.6,3.5,20.1,733,0.433376648,92.46,
26,13.8,17.7,644,0.061564381,460.2,
16.7,11.5,13,1511,0.129916004,217.1,
5,5.7,13,1511,0.478342428,65,
28.4,14.3,17.1,1411,0.736020873,485.64,
3.3,4.9,9.7,1644,0.956195255,32.01,
10.8,10.1,16.9,1733,0.39536059,182.52,
7.2,9.1,16.6,1467,0.803400009,119.52,
25.8,16.6,18.7,844,0.826559772,482.46,
10,12.6,16.7,1067,0.936039635,167,
13.3,15,17.2,1778,0.776534691,228.76,
19.1,12.4,15.4,1033,0.795284794,294.14,
7,7.8,16.4,1844,0.667629861,114.8,
2.8,2.7,16.2,1478,0.312837263,45.36,
3.6,3.5,12.9,633,0.945901488,46.44,
7,5.8,16.6,1656,0.342000125,116.2,
7.2,3.6,18.7,844,0.439897375,134.64,
13.4,9.8,16.9,1733,0.739252799,226.46,
9.9,12.8,14.1,2200,0.601227075,139.59,
16.4,12.5,15.8,1522,0.456573483,259.12,
12.6,15.8,17.2,1778,0.939722786,216.72,
10.4,15.3,22.8,956,0.859849517,237.12,
9.5,10.6,15,1956,0.054181167,142.5,
13.5,5.2,15.1,489,0.051537677,203.85,
9.5,13.6,14.1,2200,0.174813823,133.95,
8.5,10.3,16.9,1733,0.361691844,143.65,
12,9.6,15.7,1022,0.728967607,188.4,
12.5,10.4,10.1,1522,0.999986717,126.25,
16.3,12.6,22.8,956,0.239166964,371.64,
7,4,11.8,1600,0.264824302,82.6,
9.2,7.8,16.4,1844,0.580260018,150.88,
12.9,10.7,15,1956,0.960223014,193.5,
6,6.8,17.2,1778,0.431120859,103.2,
3.7,4.5,16.2,1478,0.469372041,59.94,
8.4,8.4,16.4,1844,0.102274562,137.76,
21.2,12.2,22.8,956,0.665399642,483.36,
13.7,10,17.2,1778,0.739921073,235.64,
14.9,9.8,14.9,1222,0.296202341,222.01,
20.1,12.9,20.5,722,0.890826739,412.05,
3.2,3.6,13,1511,0.095859955,41.6,
4.5,4.2,15,1956,0.035604906,67.5,
7.4,4,19.6,789,0.621445854,145.04,
7.8,11.2,16.6,1467,0.145478105,129.48,
3.8,4.3,11.8,1600,0.992991746,44.84,
11.1,8,15.4,1033,0.487610899,170.94,
11.8,12.6,16.4,1844,0.947533685,193.52,
9.8,7.2,15.4,967,0.644080931,150.92,
23.5,14.8,21,922,0.606161511,493.5,
24.4,10.9,15.4,967,0.355353159,375.76,
24.4,10.7,13,1511,0.441712209,317.2,
8.3,7.3,13,1511,0.157172276,107.9,
4.4,8.9,14.1,2200,0.953066887,62.04,
10,7,15.4,967,0.36579918,154,
8.9,8.8,15,1956,0.321479108,133.5,
2.7,4.2,11.8,1600,0.877824413,31.86,
5.8,5.2,11.8,1600,0.645031542,68.44,
14.9,13.1,20.1,733,0.777447625,299.49,
21.5,9.8,15.4,967,0.572973938,331.1,
9.1,9,12.9,633,0.462040346,117.39,
24,14.4,17.1,1411,0.289941056,410.4,
14.5,10.5,14.9,1222,0.687588054,216.05,
28.2,15.4,18.1,556,0.608979568,510.42,
2,3.2,16.2,1478,0.175740391,32.4,
14.2,9.7,20.3,800,0.27515488,288.26,
7.2,4.4,18.7,844,0.207698446,134.64,
8.9,12.3,14.1,2200,0.764692247,125.49,
11.7,6.5,22.8,956,0.473620033,266.76,
