plot,tree,DBH,Height,CBH,life,CW_E,CW_S,CW_W,CW_N,x,y,SD,CLR,CW,CW_EW,CW_SN,Age Group
11,бДр╤ки,0.7,3,0.8,а╪,0.67,1.44,1.07,0.847,2.4,4.2,722.2222222,0.73,2.0135,1.74,2.287,сваДаж
85,бДр╤ки,1,9.9,7.4,0,0.6,1.5,1,1.6,0,0,1422.222222,0.25,2.35,1.6,3.1,сваДаж
7,бДр╤ки,2.1,2.1,0.3,а╪,1.03,1.42,1.29,1.04,6.5,2.5,766.6666667,0.86,2.39,2.32,2.46,сваДаж
7,бДр╤ки,2.2,3.2,0.3,а╪,1.58,1.64,1.67,1.44,8.7,8,766.6666667,0.91,3.165,3.25,3.08,сваДаж
7,бДр╤ки,2.2,2.1,0.3,а╪,0.63,1.49,1.03,0.64,8,3.1,766.6666667,0.86,1.895,1.66,2.13,сваДаж
11,бДр╤ки,2.2,2.4,0.6,а╪,0.872,0.76,0.1,0.594,9.9,9.9,722.2222222,0.75,1.163,0.972,1.354,сваДаж
11,бДр╤ки,2.2,2,0.4,а╪,0.862,1.65,0.6,0.446,7.8,5.2,722.2222222,0.8,1.779,1.462,2.096,сваДаж
13,бДр╤ки,2.2,4.4,0.72,а╪,0.757,1.49,1.45,0.312,5,1.9,1144.444444,0.84,2.0045,2.207,1.802,сваДаж
21,бДр╤ки,2.2,3.2,0.9,а╪,0.99,0.73,0.88,1.04,9.8,9.6,1955.555556,0.72,1.82,1.87,1.77,сваДаж
13,бДр╤ки,2.3,3.5,0.82,а╪,0.622,0.91,0.82,0.387,0.1,8.7,1144.444444,0.77,1.3695,1.442,1.297,сваДаж
6,бДр╤ки,2.4,1.9,0.3,а╪,1.4,1.6,1.1,1.61,9,9.1,1044.444444,0.84,2.855,2.5,3.21,сваДаж
11,бДр╤ки,2.4,3,0.8,а╪,0.594,0.9,0.76,0.404,0.3,9.9,722.2222222,0.73,1.329,1.354,1.304,сваДаж
21,бДр╤ки,2.4,2.2,1,а╪,0.73,0.63,1.06,0.99,8,7.8,1955.555556,0.55,1.705,1.79,1.62,сваДаж
5,бДр╤ки,2.5,3,1,а╪,1.266,0.995,0.683,0.74,1.8,2.5,1377.777778,0.67,1.842,1.949,1.735,сваДаж
12,бДр╤ки,2.5,4.5,0.3,а╪,2.34,1.94,0.863,0.718,5.7,8,555.5555556,0.93,2.9305,3.203,2.658,сваДаж
13,бДр╤ки,2.5,2.6,0.2,а╪,0.9,1.2,0.8,0.5,5.2,9.7,1144.444444,0.92,1.7,1.7,1.7,сваДаж
9,бДр╤ки,2.6,2.4,0.5,а╪,1.148,0.831,0.661,0.891,9.5,2.3,600,0.79,1.7655,1.809,1.722,сваДаж
11,бДр╤ки,2.6,2.1,0.4,а╪,0.849,0.8,0.97,0.823,0.6,5.2,722.2222222,0.81,1.721,1.819,1.623,сваДаж
13,бДр╤ки,2.6,2.8,0.2,а╪,0.66,0.78,1.1,0.508,4.5,7.2,1144.444444,0.93,1.524,1.76,1.288,сваДаж
23,бДр╤ки,2.6,1.4,0.2,а╪,0.8,0.8,0.8,0.4,8.5,7.2,700,0.86,1.4,1.6,1.2,сваДаж
35,бДр╤ки,2.6,3.1,0.6,а╪,1.81,1.2,0.56,1.2,2.8,7,1733.333333,0.81,2.385,2.37,2.4,сваДаж
37,бДр╤ки,2.6,1.4,0.2,а╪,0.3,0.58,0.55,0.76,2.3,7.8,1644.444444,0.86,1.095,0.85,1.34,сваДаж
5,бДр╤ки,2.7,2.3,0.3,а╪,0.875,1.299,1.402,1.141,1.5,5.1,1377.777778,0.87,2.3585,2.277,2.44,сваДаж
7,бДр╤ки,2.7,2,0.3,а╪,1.08,1.27,1.25,0.75,8.3,3.2,766.6666667,0.85,2.175,2.33,2.02,сваДаж
8,бДр╤ки,2.7,2.8,0.4,а╪,1.189,1.473,0.81,0.587,2.3,5,1344.444444,0.86,2.0295,1.999,2.06,сваДаж
10,бДр╤ки,2.7,2.5,0.3,а╪,1.8,2.1,1.5,1.6,0.3,0.7,911.1111111,0.88,3.5,3.3,3.7,сваДаж
11,бДр╤ки,2.7,2.2,0.8,а╪,0.827,0.96,0.8,0.86,0.9,5.2,722.2222222,0.64,1.7235,1.627,1.82,сваДаж
11,бДр╤ки,2.7,4.8,0.7,а╪,0.648,1.81,1.65,0.524,3.5,1.4,722.2222222,0.85,2.316,2.298,2.334,сваДаж
