plot,treeno,species,logged,h2015,D,H,HCB,CL,grade,deadr,d/D,D2,BA individ,BA,QMD,MD,DH,S,CWE,CWW,CWS,CWN,quality,hurttyp,tree_type,coordinate_x,coordinate_y,subplotno,absx,absy,MT,cw
YLK-1,2,ÔÓÄ¾,0,,10.1,12.8,7.9,4.9,4,,0.524629048,102.01,0.008008 ,14.430700 ,19.251698 ,14.324419 ,29,86,0.36,0.622,0.789,0.316,5,,N,1.838,2.322,0,1.838,2.322,T,1.0435
YLK-1,3,ÔÓÄ¾,1,,8,7.6,4.5,3.1,4,,0.415547761,64,0.005024 ,14.430700 ,19.251698 ,14.374118 ,29,85,0.6,4.575,0.47,0.796,5,,N,1.838,2.322,0,1.838,2.322,T,3.2205
YLK-1,4,°×èë,1,,21.6,19.9,10.7,9.2,1,,1.121978955,466.56,0.036625 ,14.430700 ,19.251698 ,14.450000 ,29,84,2.576,2.089,0.676,2.104,1,,N,5.058,5.008,0,5.058,5.008,T,3.7225
YLK-1,6,ÔÆÉ¼,1,,7,6,1,5,4,,0.363604291,49,0.003847 ,14.430700 ,19.251698 ,14.363855 ,29,83,1.817,1.482,0.443,1.155,1,,N,4.58,6.303,0,4.58,6.303,T,2.4485
YLK-1,7,ÔÓÄ¾,1,,20.3,13.5,3.3,10.2,3,,1.054452444,412.09,0.032349 ,14.430700 ,19.251698 ,14.453659 ,29,82,0.744,1.426,0.971,2.569,5,4,N,4.164,7.084,0,4.164,7.084,T,2.855
YLK-1,11,ÔÆÉ¼,1,,11.4,10.5,2.6,7.9,3,,0.592155559,129.96,0.010202 ,14.430700 ,19.251698 ,14.381481 ,29,81,1.569,1.248,1.373,1.721,1,,N,5.145,9.293,0,5.145,9.293,T,2.9555
YLK-1,13,é²Ê÷,1,,8.1,7.9,2.5,5.4,3,,0.420742108,65.61,0.005150 ,14.430700 ,19.251698 ,14.418750 ,29,80,1.055,2.15,1.515,1.037,1,,N,8.001,9.319,0,8.001,9.319,T,2.8785
YLK-1,14,ÔÆÉ¼,1,,5.9,7.7,1.8,5.9,4,,0.306466474,34.81,0.002733 ,14.430700 ,19.251698 ,14.498734 ,29,79,0.94,1.725,1.239,1.101,1,,N,8.565,8.728,0,8.565,8.728,T,2.5025
YLK-1,18,ÔÆÉ¼,1,,7,6.9,2,4.9,3,,0.363604291,49,0.003847 ,14.430700 ,19.251698 ,14.608974 ,29,78,1.337,0.585,0.811,1.486,,,N,7.938,6.406,0,7.938,6.406,T,2.1095
YLK-1,23,ÔÓÄ¾,1,,5.9,8.8,3.9,4.9,3,,0.306466474,34.81,0.002733 ,14.430700 ,19.251698 ,14.707792 ,29,77,1.532,1.704,1.579,0.422,5,,N,3.294,2.41,10,13.294,2.41,T,2.6185
YLK-1,24,é²Ê÷,1,,9.9,8.3,3.1,5.2,3,,0.514240354,98.01,0.007694 ,14.430700 ,19.251698 ,14.823684 ,29,76,1.969,2.013,2.068,1.681,1,4,N,4.483,1.022,10,14.483,1.022,T,3.8655
YLK-1,29,ÀäÉ¼,1,,5,4.7,2.3,2.4,3,,0.259717351,25,0.001963 ,14.430700 ,19.251698 ,14.889333 ,29,75,0.873,0.981,0.888,1.38,1,,N,5.675,8.212,10,15.675,8.212,T,2.061
YLK-1,30,ÀäÉ¼,1,,24.6,23.4,4.8,18.6,1,,1.277809365,605.16,0.047505 ,14.430700 ,19.251698 ,15.022973 ,29,74,1.226,0.678,0.472,1.118,1,3,N,6.325,9.517,10,16.325,9.517,T,1.747
YLK-1,31,é²Ê÷,1,,10.1,12.4,7.8,4.6,1,,0.524629048,102.01,0.008008 ,14.430700 ,19.251698 ,14.891781 ,29,73,2.699,1.553,1.589,0.993,1,,Z,0.254,5.168,20,20.254,5.168,T,3.417
YLK-1,38,é²Ê÷,1,,6.9,5.9,3.4,2.5,4,,0.358409944,47.61,0.003737 ,14.430700 ,19.251698 ,14.958333 ,29,72,0.1,1.783,1.692,0.462,5,,N,3.045,6.321,30,33.045,6.321,T,2.0185
