"CW","D","SD","CLR","plot"
2.65,8.6,2344,0.8,"1"
1.55,3.1,2344,0.68,"1"
0.64,6.6,1600,0.38,"2"
2.634,9.6,1600,0.25,"2"
2.562,7,1600,0.31,"2"
3.095,14.4,1600,0.45,"2"
4.5985,22.5,1600,0.56,"2"
3.18,17.6,1600,0.45,"2"
3.215,8.7,1600,0.34,"2"
4.456,13.6,1600,0.53,"2"
3.8145,14.4,1600,0.44,"2"
2.1485,11.3,1600,0.34,"2"
1.4235,7.5,1600,0.48,"2"
2.999,10.4,1600,0.43,"2"
2.4795,11.4,1600,0.38,"2"
4.009,5.3,1600,0.29,"2"
2.4365,11.2,1600,0.36,"2"
1.342,6.4,1600,0.22,"2"
1.1525,6.8,1600,0.07,"2"
3.935,14.5,1600,0.63,"2"
3.5,6.3,1600,0.42,"2"
1.895,9.2,1600,0.34,"2"
3.065,8.3,1600,0.6,"2"
2.23,15.7,1600,0.72,"2"
3.065,15.5,1600,0.56,"2"
2.025,9.2,1600,0.6,"2"
3.56,17,1600,0.5,"2"
3.5045,13.1,1600,0.23,"2"
2.084,10.5,1600,0.43,"2"
3.3475,17.3,1600,0.51,"2"
1.805,8.1,1600,0.35,"2"
2.5125,10.8,1600,0.49,"2"
2.8585,15.7,1600,0.36,"2"
1.8615,10.4,1600,0.29,"2"
2.8735,16.2,1600,0.25,"2"
2.8865,10.5,1600,0.43,"2"
2.422,10.4,1600,0.45,"2"
2.248,12.5,1600,0.37,"2"
2.2145,9.5,1600,0.48,"2"
2.7015,9.6,1600,0.37,"2"
2.605,14.1,1600,0.19,"2"
1.677,10.8,1600,0.2,"2"
4.701,18.5,1600,0.42,"2"
3.4735,15.1,1600,0.31,"2"
3.4715,15.4,1600,0.22,"2"
3.666,18.6,1600,0.41,"2"
3.662,15.5,1600,0.44,"2"
3.722,13.6,1600,0.45,"2"
3.316,9.5,1600,0.23,"2"
4.1075,18.1,1600,0.44,"2"
4.3055,14.1,1600,0.38,"2"
3.291,10.5,1600,0.27,"2"
4.763,22.1,1600,0.52,"2"
3.16,13.9,1600,0.2,"2"
2.884,10.1,1600,0.24,"2"
4.4195,15.7,1600,0.38,"2"
2.392,10.8,1600,0.34,"2"
3.2575,12.4,1600,0.49,"2"
2.834,9.3,1600,0.24,"2"
2.7225,9.3,1600,0.18,"2"
1.795,10.7,1600,0.43,"2"
4.308,20,1600,0.55,"2"
2.928,11.8,1600,0.16,"2"
3.8205,18,1600,0.47,"2"
4.777,11.4,1600,0.53,"2"
4.5335,16.7,1600,0.66,"2"
1.8165,9.7,1600,0.32,"2"
2.191,12.4,1600,0.35,"2"
3.005,14.2,1600,0.31,"2"
3.67,8.2,1600,0.8,"2"
4.855,19,1600,0.59,"2"
3.2925,18.5,1600,0.59,"2"
2.396,13.6,1600,0.2,"2"
3.659,20.4,1600,0.51,"2"
3.336,12.5,1600,0.33,"2"
5.41,21.1,1600,0.4,"2"
3.464,14.6,1600,0.41,"2"
4.8075,20.9,1600,0.66,"2"
4.4455,16.6,1600,0.47,"2"
4.708,19.1,1600,0.5,"2"
2.7095,12.5,1600,0.59,"2"
3.40075,12.7,1600,0.44,"2"
1.953,9.8,1600,0.55,"2"
3.128,15.6,1600,0.33,"2"
4.164,12.7,1600,0.47,"2"
2.258,7.3,1600,0.31,"2"
2.764,7.1,1600,0.29,"2"
4.818,12.8,1600,0.49,"2"
3.22,13.7,1600,0.39,"2"
3.7385,15.9,1600,0.44,"2"
2.945,14.1,1600,0.44,"2"
3.035,11.4,1600,0.33,"2"
2.285,8.1,1600,0.27,"2"
3.653,13,1600,0.52,"2"
4.085,11.9,1600,0.52,"2"
