"Plot","H"
"yd01",8.2
"yd01",8.3
"yd01",12.2
"yd01",12.3
"yd01",14.61
"yd01",16.6
"yd01",10.4
"yd01",10.9
"yd01",12.1
"yd01",13.1
"yd01",13
"yd01",15.8
"yd01",10.9
"yd01",16.8
"yd01",19.96
"yd01",11.62
"yd01",13.5
"yd01",11.29
"yd01",14.6
"yd01",10.57
"yd01",16
"yd01",15.1
"yd01",17.3
"yd01",17.4
"yd01",9.03
"yd02",16.66
"yd02",13.8
"yd02",16.12
"yd02",16.1
"yd02",12.06
"yd02",14.49
"yd02",13.4
"yd02",13.43
"yd02",13.3
"yd02",15.35
"yd02",13.17
"yd02",17.4
"yd02",18.6
"yd02",11.96
"yd02",12.75
"yd02",16.2
"yd02",10.44
"yd02",12.98
"yd02",15.68
"yd02",16.7
"yd02",15.62
"yd02",17.88
"yd02",12.16
"yd02",14.4
"yd02",13.95
"yd02",15.9
"yd02",14.82
"yd02",14.59
"yd02",13.29
"yd02",15.7
"yd02",14.41
"yd02",15.86
"yd02",14.11
"yd02",13.7
"yd03",17.5
"yd03",17.2
"yd03",14.9
"yd03",14.6
"yd03",13.8
"yd03",14.1
"yd03",17.2
"yd03",17.7
"yd03",14.9
"yd03",15.1
"yd03",13.5
"yd03",17.4
"yd03",15.1
"yd03",16.7
"yd03",19
"yd03",17.2
"yd03",17.2
"yd03",19.6
"yd03",19
"yd03",17.4
"yd03",15.5
"yd03",20.3
"yd03",20.3
"yd03",15.8
"yd04",14.4
"yd04",11.6
"yd04",15.1
"yd04",15.4
"yd04",11.7
"yd04",16.1
"yd04",11.7
"yd04",9.2
"yd04",17.8
"yd04",17.1
"yd04",18.1
"yd04",10.1
"yd04",13
"yd04",17.9
"yd04",16
"yd04",14.7
"yd04",22.3
"yd04",14
"yd04",15.5
"yd04",17.5
"yd04",18.7
"yd04",15.6
"yd04",10.5
"yd04",13.8
"yd04",15.8
"yd04",19.1
"yd05",16.48
"yd05",17.62
"yd05",17.52
"yd05",13.21
"yd05",17.03
"yd05",15.34
"yd05",15.85
"yd05",13.47
"yd05",15.97
"yd05",15.77
"yd05",15.17
"yd05",17.24
"yd05",19.19
"yd05",14.27
"yd05",15.53
"yd05",15.7
"yd05",15.19
"yd05",15.95
"yd06",13.8
"yd06",18
"yd06",14.8
"yd06",14
"yd06",13.8
"yd06",13.8
"yd06",16.5
"yd06",15
"yd06",16
"yd06",15.5
