agb,plot1,plot2,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
79.98696064,2,2,0.40224,0.59776,0.24582,0.24616,0.122161,0.1,0.11,0.12,0.14,0.16,0.17,0.21,0.26,0.33,0.41,0.47,0.53,0.81,1.22,1.82,0.74,0.678972,0.920636,0.31,8.85401,0.13,2.46,0.1,0.388301,0.26,0.11,0.13,0.17,0.25,0.3,0.34,0.43,0.53,0.67,0.88,1.04,1.23,1.6,1.82,2.11,2.311418,0.527799,0.357484,0.127795,0.605644,0.222078,0.072107,0.034582,0.020945,0.018414,0.013004,0.008764,0.003797,0.000633,3141.620461,0.130443,24954,34356,37466,40178,40907,41348,41876,42263,42595,42960,43169,43396,43989,44469,45348,19.248056,1153,47801,40565.87553,42149,255,-3.59594,28000288,5291.529836,14359,31049,35835,39389,40397,41034,41718,42149,42503,42874,43084,43314,43912,44401,45274,2262
60.07802857,2,2,0.436974,0.563026,0.274419,0.177343,0.137051,0.1,0.11,0.12,0.14,0.16,0.17,0.21,0.26,0.31,0.39,0.43,0.48,0.64,0.83,1.16,0.4,0.485951,0.711371,0.27,6.673143,0.12,1.79,0.1,0.331616,0.26,0.11,0.13,0.16,0.22,0.26,0.29,0.36,0.43,0.5,0.6,0.66,0.74,0.96,1.1,1.43,1.746398,0.406963,0.235902,0.05565,0.516237,0.23887,0.128323,0.054701,0.031131,0.018528,0.006842,0.003568,0.001146,0.000655,1756.888301,0.061264,34559,37327,38482,40054,40575,40939,41469,41902,42318,42755,43007,43258,43862,44329,45099,28.942323,1230,47587,41352.8543,41810,3890,-3.061653,6418369.051,2533.450029,34046,37012,38224,39782,40390,40792,41371,41810,42246,42678,42933,43194,43809,44276,45066,2432
98.28913145,1,1,0.34218,0.65782,0.200082,0.079776,0.115864,0.1,0.1,0.11,0.11,0.12,0.12,0.14,0.15,0.18,0.21,0.23,0.26,0.34,0.42,0.58,0.19,0.25409,0.55618,0.11,6.936293,0.04,0.91,0.1,0.19385,0.15,0.1,0.11,0.11,0.13,0.14,0.15,0.18,0.21,0.25,0.3,0.33,0.37,0.47,0.55,0.66,1.883125,0.221816,0.107816,0.011624,0.631288,0.18007,0.090124,0.048634,0.023751,0.017739,0.005893,0.001488,0.000595,0.000417,1702.655566,0.054525,35488,37878,39120,40670,41059,41351,41805,42283,42766,43300,43584,43855,44548,45069,46370,10.035102,1284,49391,41956.17656,42190,11740,-1.258198,5233330.277,2287.647324,35278,37660,38873,40496,40930,41257,41714,42190,42672,43211,43493,43782,44479,45005,46311,2525
405.6854158,2,2,0.566818,0.433182,0.399663,0.690494,0.164798,0.1,0.11,0.13,0.18,0.2,0.23,0.29,0.38,0.55,1.01,1.34,1.61,2.16,2.55,3.22,1.49,1.436071,1.029271,1.14,3.578795,0.24,4.41,0.1,0.81028,0.38,0.12,0.21,0.31,0.59,0.86,1.13,1.5,1.75,1.99,2.22,2.35,2.5,2.87,3.17,3.675,1.273697,1.1628,0.833997,0.695552,0.593578,0.099258,0.065956,0.082824,0.074195,0.046529,0.024132,0.010385,0.00284,0.000282,7845.349546,0.282251,12562,22191,27215,32716,34738,36489,39087,40667,41618,42306,42625,42973,43785,44287,45105,4.102083,4181,47172,34924.08436,39012,4,-1.343986,97167209.31,9857.342913,4617,13188,19696,27561,30161,32292,36074,39013,40789,41824,42236,42625,43545,44135,44987,7887
131.9500838,2,2,0.527048,0.472952,0.357701,0.370706,0.106257,0.1,0.11,0.12,0.16,0.18,0.2,0.24,0.29,0.35,0.43,0.5,0.6,1.27,1.89,2.7,1.51,1.011649,1.143991,0.32,9.340341,0.14,3.79,0.1,0.492087,0.29,0.11,0.16,0.21,0.3,0.35,0.4,0.55,0.78,1.27,1.66,1.86,2.04,2.49,2.8,3.34,2.513312,0.7477,0.562943,0.316905,0.726179,0.134995,0.034001,0.033038,0.025848,0.021524,0.013981,0.006485,0.003102,0.000822,4569.690822,0.176851,19369,31074,35661,39421,40255,40862,41844,42510,42983,43394,43602,43825,44375,44867,45691,11.09418,1657,50563,39678.67329,42216,194,-2.706806,49241471.23,7017.226748,9233,24072,31650,37721,39253,40152,41340,42216,42799,43259,43480,43720,44286,44785,45629,3347
285.8827945,2,2,0.514005,0.485995,0.344705,0.66294,0.096301,0.1,0.11,0.13,0.17,0.19,0.21,0.27,0.33,0.41,0.51,0.57,0.68,2.2,3.21,4.91,3,1.756947,1.435659,0.38,9.608739,0.17,6.47,0.1,0.71344,0.33,0.12,0.19,0.27,0.42,0.5,0.59,1.35,2.11,2.59,3.18,3.5,3.87,4.65,5.23,5.82,2.619676,1.248239,1.024257,1.049103,0.81436,0.040391,0.031673,0.040231,0.026261,0.018343,0.013677,0.008318,0.005625,0.001093,6691.488917,0.244284,14640,26814,33878,39908,41100,41732,42460,42985,43426,43826,44011,44202,44643,44957,45493,6.934853,1581,47808,38578.92031,42637,9,-2.144045,88815725.28,9424.209531,3968,15108,24196,35588,38448,40357,41921,42638,43179,43649,43867,44083,44558,44896,45441,2911
56.8759501,1,1,0.150812,0.849188,0.078096,0.166317,0.071511,0.1,0.1,0.11,0.12,0.12,0.13,0.14,0.16,0.18,0.21,0.23,0.26,0.41,1.04,1.57,0.93,0.554328,1.156021,0.11,14.431721,0.05,2.28,0.1,0.255894,0.16,0.1,0.11,0.12,0.15,0.16,0.18,0.22,0.28,0.41,0.95,1.09,1.19,1.45,1.65,2.06,3.3381,0.39114,0.295818,0.087509,0.859581,0.057488,0.010628,0.016747,0.020612,0.017391,0.010145,0.00467,0.00161,0.000966,3436.253469,0.140375,24022,34595,36445,38325,38980,39510,40648,41638,42298,42797,43057,43294,43959,44612,45696,18.162471,2017,47388,39801.71111,41288,629,-3.385511,31216387.89,5587.162776,11779,31827,35522,37734,38444,39065,40155,41288,42118,42673,42918,43193,43849,44502,45603,4077
92.52138151,1,1,0.209772,0.790228,0.112473,0.83648,0.226796,0.1,0.1,0.11,0.12,0.12,0.13,0.16,0.25,1.04,1.49,1.69,1.88,2.36,2.67,3.06,1.05,1.551614,1.032252,1.57,2.164864,0.15,3.65,0.1,0.905126,0.25,0.1,0.15,0.69,1.27,1.42,1.53,1.75,1.95,2.15,2.36,2.47,2.59,2.815,2.99,3.24,0.764659,1.300848,0.934318,0.872951,0.543045,0.026506,0.055344,0.083863,0.088846,0.079729,0.057994,0.047604,0.015267,0.001802,8957.467951,0.363611,8774,16883,21542,26905,28832,30780,34808,36631,37579,38470,38913,39430,40613,41539,43572,2.794929,6232,46444,29478.06277,33057,32,-0.881169,114887199.1,10718.54464,1703,7419,12775,20048,22503,24965,28791,33061,36253,37553,38104,38712,40072,41068,43253,10081
24.91117755,1,1,0.265013,0.734987,0.147092,0.593945,0.100685,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.14,0.18,0.33,0.54,0.94,1.8,2.52,3.46,1.86,1.33984,1.469455,0.43,6.904722,0.04,4.6,0.1,0.553084,0.14,0.1,0.11,0.14,0.45,0.77,1.05,1.43,1.73,2.04,2.44,2.63,2.825,3.28,3.62,4.18,2.123807,0.983075,0.812733,0.660535,0.750744,0.05585,0.051856,0.050984,0.031012,0.025129,0.018302,0.00995,0.004575,0.001525,6018.482757,0.250606,12627,23623,30126,35388,36064,36504,37148,37705,38190,38659,38915,39228,40087,41038,43017,6.644399,1697,46293,34083.65154,37309,66,-2.067222,72958523.73,8541.576185,3449,12820,20947,31446,34482,35599,36657,37309,37889,38425,38690,39003,39858,40739,42739,2851
71.55948837,2,2,0.555541,0.444459,0.387385,0.174644,0.103581,0.1,0.12,0.13,0.17,0.19,0.22,0.26,0.31,0.37,0.44,0.47,0.52,0.65,0.79,1.24,0.34,0.525246,0.652809,0.28,12.696583,0.13,2.69,0.1,0.368276,0.31,0.11,0.15,0.2,0.27,0.3,0.33,0.4,0.45,0.52,0.59,0.64,0.7,0.91,1.16,1.935,2.238241,0.439802,0.240414,0.057799,0.56972,0.310969,0.084571,0.021962,0.006365,0.003206,0.001446,0.000844,0.000579,0.000313,1814.002533,0.076153,34217,37799,38991,40439,40983,41373,41874,42231,42556,42884,43058,43271,43844,44306,45171,46.965462,1014,47764,41482.79559,42161,382,-5.213811,9979511.389,3159.036465,28893,37358,38689,40196,40781,41217,41782,42161,42495,42826,43009,43219,43797,44260,45122,2075
