d,h,hdo,den,num,dhdo,loghdo
7.4,9.7,14.1,2200,0.512502689,104.34,2.646174797
15,11.4,17.7,644,0.341222015,265.5,2.87356464
23.6,12.4,16.7,1067,0.692242085,394.12,2.815408719
24.8,10.2,15.4,967,0.205573641,381.92,2.734367509
8.1,5.9,13,1511,0.487365318,105.3,2.564949357
11.5,10.9,14.1,2200,0.006986042,162.15,2.646174797
6.7,4.3,18.7,844,0.615796682,125.29,2.928523524
23.2,15.2,21,922,0.261031802,487.2,3.044522438
25.3,13.8,18.1,556,0.948162304,457.93,2.895911938
14.5,8.9,16.4,1844,0.702727527,237.8,2.797281335
14.5,12.4,20.1,733,0.593134015,291.45,3.000719815
4.3,3.9,18.7,844,0.556200166,80.41,2.928523524
22.2,8.4,14.8,1022,0.39670761,328.56,2.694627181
32.9,10.2,20.1,733,0.284905618,661.29,3.000719815
8.4,7.7,17.1,1411,0.172177651,143.64,2.839078464
13.8,9.1,20.3,800,0.242366455,280.14,3.010620886
21.7,15.9,17.7,644,0.700353376,384.09,2.87356464
23.2,11.1,21,922,0.327113117,487.2,3.044522438
28.4,10.8,15.7,656,0.763586806,445.88,2.753660712
10.2,10.3,14.1,2200,0.061422274,143.82,2.646174797
13.2,17,17.2,1778,0.686028483,227.04,2.844909384
7.8,8.8,13.2,2122,0.207143053,102.96,2.58021683
5.3,5.2,13,1511,0.102820144,68.9,2.564949357
6.5,10.6,16.6,1467,0.996868476,107.9,2.809402695
8.4,11.9,16.9,1733,0.802270923,141.96,2.827313622
23.8,13.1,15.4,967,0.387877791,366.52,2.734367509
6.4,10.9,16.9,1733,0.332386243,108.16,2.827313622
20.2,13.5,12.9,633,0.771265074,260.58,2.557227311
19.3,16.2,20.5,722,0.559880319,395.65,3.020424886
9,8.1,16.5,589,0.045892413,148.5,2.803360381
10.3,4.5,14.9,1222,0.223170525,153.47,2.701361213
5.3,4.5,11.8,1600,0.888252809,62.54,2.468099531
5.2,5.4,11.8,1600,0.475764364,61.36,2.468099531
10.1,8.2,15.1,1067,0.561365941,152.51,2.714694744
15.3,13.3,17.1,1411,0.344450295,261.63,2.839078464
33.1,13.2,18.1,556,0.09475301,599.11,2.895911938
8.6,7.8,15.7,1022,0.208978318,135.02,2.753660712
24.2,15.6,16.7,1067,0.120887534,404.14,2.815408719
8.9,5.4,14.6,789,0.563592743,129.94,2.681021529
27,14.9,18.1,556,0.096169308,488.7,2.895911938
8.3,8.3,16.6,1467,0.91855161,137.78,2.809402695
6.6,4.8,15,1956,0.645511825,99,2.708050201
16.1,14,16.5,1356,0.431999668,265.65,2.803360381
13.9,9.8,13,1511,0.174494874,180.7,2.564949357
24.5,13.2,15.4,967,0.58024282,377.3,2.734367509
9.6,6.5,11.8,1600,0.368486752,113.28,2.468099531
7.5,7.2,16.6,1656,0.270512047,124.5,2.809402695
9,7.8,13,1511,0.369665741,117,2.564949357
10.5,8.7,16.7,1067,0.160896406,175.35,2.815408719
13.2,10.7,17.2,1778,0.5572963,227.04,2.844909384
20.4,10.8,14.9,1222,0.889529198,303.96,2.701361213
13.1,6.9,13,1511,0.386602809,170.3,2.564949357
3.5,5.3,14.1,2200,0.237631712,49.35,2.646174797
13.7,14.3,18.7,844,0.077752423,256.19,2.928523524
16.7,11.7,17.1,1411,0.205262214,285.57,2.839078464
5.2,11.5,16.9,1733,0.615032434,87.88,2.827313622
27.3,10.4,15.4,967,0.042909673,420.42,2.734367509
19.4,14.3,15.4,1033,0.497981588,298.76,2.734367509
6.2,6.4,15.7,656,0.036596358,97.34,2.753660712
5.7,6.6,16.6,1467,0.173894528,94.62,2.809402695
5.9,8.9,15,1956,0.246295081,88.5,2.708050201
3.5,3.5,16.2,1478,0.844900765,56.7,2.785011242
27.3,13.9,22.8,956,0.538384254,622.44,3.126760536
6.1,5.6,15,1956,0.262598839,91.5,2.708050201
11.4,13.4,14.1,2200,0.944923775,160.74,2.646174797
11,7.7,15.7,1022,0.229719959,172.7,2.753660712
