Bk,C,S,Pt,Tree,A,H
1,1,1,1,1,8,9.64
1,0,1,1,1,12,11.45
1,0,1,1,2,8,8.12
1,0,1,1,2,12,11.02
1,0,1,1,2,16,12.87
1,1,2,1,3,8,8.15
1,0,2,1,3,12,10.7
1,1,2,1,3,16,11.13
1,1,2,1,3,20,13.81
1,1,2,2,1,8,10.02
1,0,2,2,1,12,10.66
1,0,2,2,1,16,13.06
1,1,1,2,2,8,8.87
1,1,1,2,2,12,10.84
1,0,1,2,2,16,13.51
1,1,1,2,2,20,13.38
1,1,1,2,3,12,10.72
1,0,1,2,3,16,12.5
1,1,1,2,3,20,13.58
2,0,2,1,1,8,7.27
2,0,2,1,1,12,10.53
2,1,2,1,1,16,11.87
2,1,2,1,2,8,7.47
2,1,1,1,2,12,9.19
2,0,1,1,2,16,10.23
2,1,1,2,1,8,7.99
2,0,2,2,1,12,10.92
2,1,2,2,1,16,11.73
2,1,1,2,2,8,8.49
2,0,1,2,2,12,11.06
2,1,1,2,2,16,11.57
