d,h,hdo,den,dhdo,num
4.2,4.2,10.1,1522,42.42,
7.5,4.4,10.1,1522,75.75,
14.8,10.5,13.1,811,193.88,
13.2,11.7,15.1,1656,199.32,
17.1,13.4,14.1,556,241.11,
10.3,8.7,14,2333,144.2,
17.5,14.2,16.1,1656,281.75,
5.8,3,6,1322,34.8,
20.4,14.2,17.7,889,361.08,
12.7,14.1,21.5,1667,273.05,
22,15,16.3,1556,358.6,
16.4,12.3,18.8,1233,308.32,
18.4,12.2,13.2,2122,242.88,
18.2,12.4,13.4,778,243.88,
13,11.6,15.1,1067,196.3,
12,8.1,14,2333,168,
22.1,17.8,20.3,1011,448.63,
9.4,5.4,15.1,1067,141.94,
3.2,3.3,6.2,1311,19.84,
17.2,8.8,15.7,422,270.04,
15.6,12.8,16.6,1656,258.96,
10.2,6.3,15.7,422,160.14,
20.7,15.8,17.3,1122,358.11,
15,13.5,17.7,2278,265.5,
18.1,12.5,13.4,778,242.54,
8.6,5.6,6,1322,51.6,
14.7,11,16.2,1678,238.14,
19.1,14.1,15.1,1656,288.41,
13.8,13.4,16.2,1156,223.56,
3.5,2.7,6.1,722,21.35,
22.2,17.5,22.4,867,497.28,
21.8,12.6,16.6,1656,361.88,
6.9,5.9,6.4,911,44.16,
15.4,12.5,15.1,1067,232.54,
6.8,4,6,600,40.8,
14.2,9.6,13.2,2122,187.44,
20,14.4,16.3,1556,326,
13.9,10.4,14.4,1689,200.16,
14.7,12.8,14.8,1967,217.56,
17.2,15.8,17.2,1778,295.84,
21.8,19,21.2,967,462.16,
7.3,3.9,6.9,1356,50.37,
16.1,7.8,7.8,989,125.58,
15.2,6.6,7.8,989,118.56,
20.4,13.9,15.1,1656,308.04,
20.8,18.5,22.4,867,465.92,
20.7,17.5,21.5,1667,445.05,
10.6,7.6,15.7,422,166.42,
8,5.4,6.9,1356,55.2,
16.4,15.8,18.8,1233,308.32,
17.4,14,17.7,2278,307.98,
8.3,4.3,14,2333,116.2,
3.7,3.8,5.7,533,21.09,
18.3,12.3,15.8,1522,289.14,
4,3.2,9.7,1644,38.8,
21.8,13.8,14.1,556,307.38,
4.4,3.3,4.9,689,21.56,
17.4,21.3,22.4,867,389.76,
6.1,5.3,7.1,1044,43.31,
14.8,14.9,21.2,967,313.76,
15.1,13.2,15.1,1656,228.01,
5,5.6,18.8,1233,94,
3.6,5.1,6,1322,21.6,
15,12.1,15.1,1067,226.5,
6.9,5.2,6.4,911,44.16,
18.3,14.3,16.5,1356,301.95,
15.5,13.3,15.1,1656,234.05,
15.6,16,17.3,1122,269.88,
16.9,12.9,15.1,1411,255.19,
3.6,3.1,4.9,689,17.64,
8.6,6.9,13.9,767,119.54,
5.3,5.6,10.1,1522,53.53,
4.2,4.3,5.4,1133,22.68,
11.4,5.3,9.7,1644,110.58,
20.5,12,13.2,2122,270.6,
9,6.5,10.1,1522,90.9,
15.2,11.6,15.1,1656,229.52,
13.4,12.6,14.8,1967,198.32,
21.9,15.2,16.5,1356,361.35,
19.4,15.1,17.2,1778,333.68,
4.1,3.8,6.1,722,25.01,
21.2,14.1,16.1,689,341.32,
13.2,9.6,16.2,1678,213.84,
8.6,6.5,7.1,1044,61.06,
23.8,13,14.8,1967,352.24,
11.2,11.3,17.7,2278,198.24,
15.9,7.1,10.1,1522,160.59,
8.8,4.8,7.2,1733,63.36,
13.1,9.4,14,2333,183.4,
5.7,2.1,6.9,1356,39.33,
8.3,11.7,13.2,2122,109.56,
10.7,6.4,7.2,1733,77.04,
18.7,14.9,16.6,1467,310.42,
18.9,11.9,15.1,589,285.39,
31,19.7,21.5,1667,666.5,
3.1,5.7,6.4,911,19.84,
23.6,17.5,20.3,1011,479.08,
13.4,17.9,18.8,1233,251.92,
6.4,4,5.4,1133,34.56,
9,9.2,14.8,1967,133.2,
14.5,8.9,10.4,500,150.8,
29.3,19.8,21.2,967,621.16,
11.6,12.9,15.1,1656,175.16,
5.4,4.4,6.9,1356,37.26,
7,4.7,6,600,42,
9.5,9.2,14.8,1967,140.6,
12,5.4,14.6,789,175.2,
5.4,4.3,6.9,1356,37.26,
7,10.4,14,2333,98,
9.2,5.2,6.8,767,62.56,
10.5,5.8,7.2,1733,75.6,
8.1,5.8,6.8,767,55.08,
22.6,13.5,15.1,589,341.26,
7.6,5,6.8,767,51.68,
9.6,9.9,16.2,1156,155.52,
8.3,8.3,17.7,2278,146.91,
15.6,12.6,16.1,1656,251.16,
13.3,12.4,14.4,1689,191.52,
15.1,11.5,14.8,1022,223.48,
8,6.6,18.8,1233,150.4,
9.9,11.6,13.2,2122,130.68,
15.2,12.4,14.4,1689,218.88,
6.7,12.5,13.4,778,89.78,
10.7,6.2,15.7,422,167.99,
21.9,14.8,17.3,1122,378.87,
5.9,4.1,14,2333,82.6,
5.1,4.5,4.9,689,24.99,
20.4,12.9,16.2,1156,330.48,
6.3,9.6,14.1,2200,88.83,
14.1,6.7,14.8,1022,208.68,
15.3,13.7,14.5,978,221.85,
18.7,15.2,16.5,1356,308.55,
13.9,11.4,13.1,811,182.09,
13.1,12.4,15.1,1656,197.81,
15.6,13.1,14.5,978,226.2,
16.1,9.9,13.1,811,210.91,
22,14.6,14.6,789,321.2,
6.7,3.5,10.4,500,69.68,
25.5,16,20.5,722,522.75,
14,10.2,14.8,1967,207.2,
22.7,12.9,15.1,589,342.77,
12.1,13.5,15.8,1522,191.18,
15.6,11.7,14.8,1967,230.88,
23.3,16.5,21.5,1667,500.95,
21.1,10.9,19.6,789,413.56,
14.6,6.7,14,2333,204.4,
13.8,12.4,16.3,1556,224.94,
13.8,12.3,14.4,1689,198.72,
14.8,15.7,16.2,1678,239.76,
16.7,18.6,22.4,867,374.08,
19,13.9,16.3,1556,309.7,
13,14.9,21.5,1667,279.5,
25.5,17.6,21.5,1667,548.25,
