d,h,hdo,den,,,,,
2.1,2.1,6.8,767,,,,,
2.2,4.4,5.4,1133,,,,,
2.2,3.2,6.8,767,,,,,
2.2,3.2,15,1956,,,,,
2.2,2.4,6.1,722,,,,,
2.2,2.1,6.8,767,,,,,
2.2,2,6.1,722,,,,,
2.3,3.5,5.4,1133,,,,,
2.4,3,6.1,722,,,,,
2.4,2.2,15,1956,,,,,
2.4,1.9,7.1,1044,,,,,
2.5,4.5,5.7,533,,,,,
2.5,3,6.9,1356,,,,,
2.5,2.6,5.4,1133,,,,,
2.6,3.1,7.2,1733,,,,,
2.6,2.8,5.4,1133,,,,,
2.6,2.4,6,600,,,,,
2.6,2.1,6.1,722,,,,,
2.6,1.4,4.9,689,,,,,
2.6,1.4,9.7,1644,,,,,
2.7,4.9,7.1,1044,,,,,
2.7,4.8,6.1,722,,,,,
2.7,3.2,5.4,1133,,,,,
2.7,2.8,6,1322,,,,,
2.7,2.8,7.2,1733,,,,,
2.7,2.5,6.4,911,,,,,
2.7,2.3,6.9,1356,,,,,
2.7,2.2,6.1,722,,,,,
2.7,2,6.8,767,,,,,
2.8,5.7,13.2,2122,,,,,
2.8,5,10.4,500,,,,,
2.8,4,14,2333,,,,,
2.8,3.8,6.8,767,,,,,
2.8,3.2,6.4,911,,,,,
2.8,3,7.2,1733,,,,,
2.8,2.7,6,600,,,,,
2.8,2.6,4.9,689,,,,,
2.8,2.5,6,1322,,,,,
2.8,2.4,4.9,689,,,,,
2.8,2.1,5.4,1133,,,,,
2.8,2.1,5.4,1133,,,,,
2.8,1.8,9.7,1644,,,,,
2.9,3.7,10.1,1522,,,,,
2.9,3.4,5.7,533,,,,,
2.9,3.2,15,1956,,,,,
2.9,3,6.4,911,,,,,
2.9,2.9,4.9,689,,,,,
2.9,2.8,4.9,689,,,,,
2.9,2.6,6.1,722,,,,,
2.9,2.6,4.9,689,,,,,
2.9,2.3,5.4,1133,,,,,
2.9,1.9,6.1,722,,,,,
3,4.2,7.2,1733,,,,,
3,4.1,14,2333,,,,,
3,4,6,1322,,,,,
3,4,15.1,1656,,,,,
3,3.9,6.4,911,,,,,
3,3.8,6,1322,,,,,
3,3.6,6.2,1311,,,,,
3,3.5,15,1956,,,,,
3,3.4,4.9,689,,,,,
3,3.3,6.9,1356,,,,,
3,3.2,14.8,1022,,,,,
3,3.1,5.7,533,,,,,
3,2.7,6.8,767,,,,,
3,2.7,4.9,689,,,,,
3,2.5,6.1,722,,,,,
3,2.4,5.4,1133,,,,,
3,2.3,4.9,689,,,,,
3,1.9,9.7,1644,,,,,
3.1,5.7,6.4,911,,,,,
3.1,5.1,15.8,1522,,,,,
3.1,3.9,6.9,1356,,,,,
3.1,3.7,6.9,1356,,,,,
3.1,3.5,4.9,689,,,,,
3.1,3.3,4.9,689,,,,,
3.1,3.2,9.7,1644,,,,,
3.1,2.9,7.2,1733,,,,,
3.1,2.8,6,1322,,,,,
3.1,2.8,5.4,1133,,,,,
3.1,2,4.9,689,,,,,
3.2,5.5,14,2333,,,,,
3.2,4,6,1322,,,,,
3.2,4,6,1322,,,,,
3.2,4,5.4,1133,,,,,
3.2,3.9,17.7,2278,,,,,
3.2,3.6,15,1956,,,,,
3.2,3.6,7.2,1733,,,,,
3.2,3.5,6,1322,,,,,
3.2,3.5,7.2,1733,,,,,
3.2,3.4,17.2,1778,,,,,
3.2,3.3,6.2,1311,,,,,
3.2,3.3,14.8,1022,,,,,
3.2,3.2,7.8,989,,,,,
3.2,3.1,6.1,722,,,,,
3.2,2.8,5.4,1133,,,,,
3.2,2.8,7.2,1733,,,,,
3.2,2.8,7.8,989,,,,,
3.2,2.7,4.9,689,,,,,
3.2,2.5,4.9,689,,,,,
3.3,5.4,17.2,1778,,,,,
3.3,3.7,4.9,689,,,,,
3.3,3.4,4.9,689,,,,,
3.3,3.3,13.9,767,,,,,
3.3,3.3,7.2,1733,,,,,
3.3,3.2,4.9,689,,,,,
3.3,3.2,7.2,1733,,,,,
3.3,3.1,7.2,1733,,,,,
3.3,2.7,4.9,689,,,,,
3.3,2.7,4.9,689,,,,,
3.3,2.5,4.9,689,,,,,
3.3,2,7.8,989,,,,,
3.3,1.8,4.9,689,,,,,
3.4,5.9,6.8,767,,,,,
3.4,5.6,6,1322,,,,,
3.4,5,6.2,1311,,,,,
3.4,4.8,6.8,767,,,,,
3.4,4.8,15.8,1522,,,,,
3.4,3.9,9.7,1644,,,,,
3.4,3.6,6.9,1356,,,,,
3.4,3.6,7.2,1733,,,,,
3.4,3.5,6,1322,,,,,
3.4,3.5,6,600,,,,,
3.4,3.5,15,1956,,,,,
3.4,3.5,4.9,689,,,,,
3.4,3.5,16.2,1678,,,,,
3.4,3.4,4.9,689,,,,,
3.4,3.3,6,600,,,,,
3.4,3.2,6,1322,,,,,
3.4,3.2,17.2,1778,,,,,
3.4,2.9,14.8,1022,,,,,
3.4,2.8,5.4,1133,,,,,
3.4,2.7,5.4,1133,,,,,
3.4,2.6,4.9,689,,,,,
3.4,2.5,7.2,1733,,,,,
3.5,6.7,13.2,2122,,,,,
3.5,6.5,6.4,911,,,,,
3.5,6.4,10.1,1522,,,,,
3.5,5.5,6.9,1356,,,,,
3.5,5.4,13.2,2122,,,,,
3.5,4.7,6.9,1356,,,,,
3.5,4.4,6.9,1356,,,,,
3.5,4.2,6.2,1311,,,,,
3.5,4.2,14.1,2200,,,,,
