d,h,hdo,den,s1,s2,sp,,,,
3.1,2.5,15.1,489,0,1,birch,,,,
2.5,2.7,15.1,489,0,1,birch,,,,
2.9,3.3,15.1,489,0,1,birch,,,,
5.4,3.5,15.1,489,0,1,birch,,,,
6.2,3.5,15.1,489,0,1,birch,,,,
2.2,3.8,15.1,489,0,1,birch,,,,
2.5,4.2,15.1,489,0,1,birch,,,,
2.9,4.2,15.1,489,0,1,birch,,,,
3.6,4.2,15.1,489,0,1,birch,,,,
4.8,4.2,15.1,489,0,1,birch,,,,
4.5,4.3,15.1,489,0,1,birch,,,,
2.7,4.4,15.1,489,0,1,birch,,,,
2.5,4.5,15.1,489,0,1,birch,,,,
4.8,5.2,15.1,489,0,1,birch,,,,
13.5,5.2,15.1,489,0,1,birch,,,,
5.9,5.9,15.1,489,0,1,birch,,,,
6.2,5.9,15.1,489,0,1,birch,,,,
5.8,6.2,15.1,489,0,1,birch,,,,
11.2,7,15.1,489,0,1,birch,,,,
15.1,8.6,15.1,489,0,1,birch,,,,
23,9,15.1,489,0,1,birch,,,,
17.2,9.4,15.1,489,0,1,birch,,,,
18.4,9.9,15.1,489,0,1,birch,,,,
21.2,10,15.1,489,0,1,birch,,,,
6.2,10.6,15.1,489,0,1,birch,,,,
19.2,10.6,15.1,489,0,1,birch,,,,
23.3,11.4,15.1,489,0,1,birch,,,,
25.5,12.3,15.1,489,0,1,birch,,,,
24.5,12.5,15.1,489,0,1,birch,,,,
33.3,13.2,15.1,489,0,1,birch,,,,
23.4,13.4,15.1,489,0,1,birch,,,,
29.2,13.4,15.1,489,0,1,birch,,,,
26,13.9,15.1,489,0,1,birch,,,,
24.6,14.3,15.1,489,0,1,birch,,,,
33.4,14.3,15.1,489,0,1,birch,,,,
29,14.4,15.1,489,0,1,birch,,,,
36.4,14.6,15.1,489,0,1,birch,,,,
24.6,15,15.1,489,0,1,birch,,,,
26.8,15,15.1,489,0,1,birch,,,,
40.7,15.2,15.1,489,0,1,birch,,,,
27.7,15.8,15.1,489,0,1,birch,,,,
3.6,4.2,18.1,556,0,1,birch,,,,
10.6,5,18.1,556,0,1,birch,,,,
7.2,6.8,18.1,556,0,1,birch,,,,
9.7,7.6,18.1,556,0,1,birch,,,,
7.8,7.7,18.1,556,0,1,birch,,,,
10.7,8.2,18.1,556,0,1,birch,,,,
21.5,8.8,18.1,556,0,1,birch,,,,
8.6,9,18.1,556,0,1,birch,,,,
13.2,9.9,18.1,556,0,1,birch,,,,
14.7,10.2,18.1,556,0,1,birch,,,,
26.9,10.4,18.1,556,0,1,birch,,,,
20.1,10.8,18.1,556,0,1,birch,,,,
15.8,11,18.1,556,0,1,birch,,,,
15.4,11.2,18.1,556,0,1,birch,,,,
37.1,11.2,18.1,556,0,1,birch,,,,
26.7,11.3,18.1,556,0,1,birch,,,,
26.8,11.4,18.1,556,0,1,birch,,,,
16.2,11.5,18.1,556,0,1,birch,,,,
24.5,12,18.1,556,0,1,birch,,,,
22,12.2,18.1,556,0,1,birch,,,,
17.1,12.4,18.1,556,0,1,birch,,,,
21.3,13,18.1,556,0,1,birch,,,,
22.2,13.1,18.1,556,0,1,birch,,,,
22.3,13.2,18.1,556,0,1,birch,,,,
33.1,13.2,18.1,556,0,1,birch,,,,
27.5,13.5,18.1,556,0,1,birch,,,,
25.3,13.8,18.1,556,0,1,birch,,,,
27.6,13.9,18.1,556,0,1,birch,,,,
34.3,13.9,18.1,556,0,1,birch,,,,
27.5,14,18.1,556,0,1,birch,,,,
24,14.7,18.1,556,0,1,birch,,,,
23.2,14.9,18.1,556,0,1,birch,,,,
25.4,14.9,18.1,556,0,1,birch,,,,
27,14.9,18.1,556,0,1,birch,,,,
11.6,15.2,18.1,556,0,1,birch,,,,
25.7,15.3,18.1,556,0,1,birch,,,,
25,15.4,18.1,556,0,1,birch,,,,
28.2,15.4,18.1,556,0,1,birch,,,,
19.8,15.5,18.1,556,0,1,birch,,,,
13.9,15.6,18.1,556,0,1,birch,,,,
19.6,15.8,18.1,556,0,1,birch,,,,
